Display Type,LinkedIn Link (map it to Links to get the logo),Startup Name ,Full Address,Description of startup,Website,Stage,# of Employees ,Section
profile,https://www.linkedin.com/company/clientbook-retail,Clientbook,"3300 N Ashton Blvd, Suite 175, Lehi, UT 84043","We make retail store sales associates clienteling rockstars by organizing client data, automating follow-ups, and driving repeat business.",https://www.clientbook.com/,Series A,11-50,B2B Software
profile,https://www.linkedin.com/company/addax-overland,ADDAX Overland,"32 1800 W H, Lindon, UT 84042","ADDAX Overland engineers high quality overlanding equipment. Bring your entire campsite with you using our trailers, truck caps, and campers. ADDAX Overland is proud to partner with Jeep®.",https://www.addaxoverland.com/,Series A,2-10,Consumer
profile,https://www.linkedin.com/company/eliza-chat/?viewAsMember=true,ElizaChat ,"2701 N Thanksgiving Way #100, Lehi, UT 84043","ElizaChat is a clinically trained mental health coach, powered by conversational AI. Available 24/7, Eliza is built to support mental well-being by providing a safe, accessible space to talk and reflect. We designed ElizaChat to complement—not replace—professional care, serving as a first step for students who might hesitate to seek help. Grounded in evidence-based positive psychology techniques and guided by ethical safeguards, ElizaChat empowers students to build resilience and thrive, while connecting them to licensed professionals when needed.",https://elizachat.com/,Pre-Seed,2-10,Bio/Medical Tech
profile,https://www.linkedin.com/company/thymeless/?viewAsMember=true,Thymeless Enterprises,"231 N University Ave Provo, UT 84601","We streamline all operational aspects for wedding vendors and are building a ""one-stop shop"" for clients through our in-house vendor network, thus making wedding planning, easier, cheaper, and less stressful.

Check out our brands:
⌛️ Rosie Rue Floral Co: https://www.rosierue.com/
⌛️ White Poppy Preservation: https://shop.whitepoppypreservation.com/",Rosie Rue Floral Co: https://www.rosierue.com/ | White Poppy Preservation: https://shop.whitepoppypreservation.com/,Bootstrapped,51-200,Consumer
profile,https://www.linkedin.com/company/36086542,Solo,,SoloSuit helps people respond to debt collection lawsuits.,solosuit.com,Seed,11-50,FinTech
profile,https://www.linkedin.com/company/squarepeg-hires,SquarePeg,"26 S Rio Grande St #2072, Salt Lake City, UT 84101","SquarePeg is an AI-assisted recruiting platform for modern technology companies. By leveraging AI to evaluate millions of candidate profiles with human-level nuance, SquarePeg helps companies find their perfect job candidate.",https://www.squarepeghires.com/,Seed,11-50,B2B Software
profile,https://www.linkedin.com/company/swell-cx/,Swell,"6510 Millrock Dr STE 300, Holladay, UT 84121","Modernizing experience management for healthcare by optimizing the way they capture public reviews and private feedback. 
",https://www.swellcx.com/,Series A ,51-200,B2B Software
profile,https://www.linkedin.com/company/monovotech/,Monovo,"2578 W 600 N, Lindon, UT 84042",Monovo's mission is to improve health equity in all communities and demographics by changing the way that healthcare is delivered and received. We are changing the healthcare landscape by increasing accessibility to personalized care through innovations that emphasize health literacy and connection. ,https://monovo.care/,Seed,11-50,Bio/Medical Tech
profile,https://www.linkedin.com/company/adminify-ai,Adminify AI,1250 e 200 s Lehi Utah 84043,The all-in-one AI communication platform built to make your business ridiculously easy to communicate with!,https://adminify.ai/,Bootstrapped,11-50,B2B Software
profile,https://www.linkedin.com/company/territories-ai/,Territories.AI,"2701 N Thanksgiving Way #100, Lehi, UT 84043","Intelligent revenue planning for revenue teams, AI-powered account scoring, capacity planning, and territory design. ",https://territories.ai/,Pre-Seed,2-10,B2B Software
profile,https://www.linkedin.com/company/97418896/admin/dashboard/,SpaceAgent,"2174 S Main Street, Salt Lake City, UT 84115","Lead gen copilot - meet, connect, and cultivate a robust geo-specific lead base.  Use advanced data enrichment to enhance any data with valuable insights to unlock insights on companies, individuals, and spaces for your most ambitious idea.",https://spaceagent.app/,Pre-Seed,2-10,B2B Software
profile,https://www.linkedin.com/company/6426403/admin/dashboard/,PowerBx,"2174 S Main Street, Salt Lake City, UT 84115","PowerBx specializes in innovative space management solutions, helping businesses optimize workplace efficiency through advanced room scheduling systems, internalized cloud infrastructure, and dashboardless data engineering. Our tailored tools streamline operations, enhance collaboration, and deliver actionable insights directly into workflows—empowering Fortune 1000 companies to unlock the full potential of their office, industrial, and retail spaces.",https://powerbx.com/,Bootstrapped,2-10,B2B Software
profile,https://www.linkedin.com/company/theraproai/posts/?feedView=all,TheraPro.ai,"192 N Fort Ln, Layton, UT 84041",Empowering therapists with AI,therapro.ai,Seed,2-10,Bio/Medical Tech
profile,https://www.linkedin.com/company/nodal-power-systems/,Nodal Power Inc,250 E 200 S Salt Lake City UT 84111,Landfill Gas-to-Energy Microgrids and Power Plants,nodalpowersystems.com,Seed,2-10,Energy
