id,Title,description,Communities,Industries,Locations,Topics,link,email
2651,A Bolder Way Forward,"The ""A Bolder Way Forward"" initiative by Utah State University's Utah Women & Leadership Project aims to make Utah a leading state for women-owned businesses in terms of growth and longevity. The Entrepreneurship spoke of this initiative focuses on eliminating barriers such as limited access to capital, mentors, affordable childcare, and awareness of business training and resources that hinder women from starting and sustaining successful businesses. By addressing these challenges, the program seeks to empower more Utah women to thrive as entrepreneurs, thereby enhancing the state's economic vitality.",Women,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Other,,uwlp@usu.edu
2652,SBA Thrive,"The T.H.R.I.V.E. Emerging Leaders Reimagined program, offered by the U.S. Small Business Administration (SBA), is an intensive executive-level training series designed to accelerate the growth of high-potential small businesses. Over six months, participants engage in in-person coaching, self-paced instruction, mentoring, and classroom sessions, covering core business topics such as accounting, business strategy, marketing, and human resources. The program aims to equip small business executives with the skills and knowledge necessary to scale their operations and contribute to economic development.",Multicultural|New American|Rural|Student|Veteran|Women,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Late Stage Growth,https://www.sba.gov/sba-learning-platform/thrive-emerging-leaders-reimagined,sbathrivesupport@isomglobal.com
2653,Goldman Sachs 1000 Small businesses,"""Goldman Sachs 10,000 Small Businesses is an investment to help small businesses grow and create jobs by providing them with greater access to education, capital, and business support services. To date, more than 12,8000 business owners have graduated from the program across all 50 states, Washington D.C., and Puerto Rico.
 
 
 
 Through the program, you will gain skills across topics such as financial statements negotiation, marketing, and employee management, and gain the tools to develop a customized business plan for growth – for free.""",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Late Stage Growth,https://10ksbapply.com/,
2654,Utah Innovation Center,"The Utah Innovation Center, part of the Governor's Office of Economic Opportunity, serves as a catalyst for technology innovation in Utah. It provides a funding roadmap for startups and emerging companies developing innovative technologies, offering services such as proposal review, training, and mentoring to assist businesses in securing non-dilutive funding through federal programs like the Small Business Innovation Research (SBIR) and Small Business Technology Transfer (STTR).",,Aerospace and Defense|Agriculture|Life Sciences and Healthcare|Manufacturing|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Funding,https://business.utah.gov/innovation/,innovationutah@utah.gov
2655,Utah Innovation Fund,"The Utah Innovation Fund is a state-established venture capital fund dedicated to elevating Utah's economy by commercializing technologies developed at the state's higher education institutions. Its mission is to support and fund promising startups addressing global challenges, with a focus on early investments in innovative solutions and fostering deep tech leadership within Utah.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Funding,https://www.utahinnovationfund.com/,info@utahinnovationfund.com
2656,STRIVE,"The Startup Training Resources to Inspire Veteran Entrepreneurship (STRIVE) program, offered by the Utah Veteran Business Resource Center (VBRC) in partnership with Syracuse University's D'Aniello Institute for Veterans and Military Families (IVMF) and the National Association for Community College Entrepreneurship (NACCE), is a comprehensive six-week training initiative designed to assist veteran and military-connected entrepreneurs in developing early-stage business ideas. Participants receive in-depth training, mentorship, and access to a robust network of resources, both locally and nationally through the IVMF network, to support the successful launch and growth of their ventures.",Veteran,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Entrepreneurship Communities|Start a Business,https://utahvbrc.org/strive,vbrc@slcc.edu
2657,1 Million Cups (Salt Lake),"The 1 Million Cups program in Salt Lake City fosters a supportive entrepreneurial community, connecting local entrepreneurs to resources and networking opportunities. Hosted weekly, the program encourages open dialogue about business challenges and solutions, promoting growth through collaboration and learning",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Davis|Morgan|Salt Lake|Tooele|Weber,Entrepreneurship Communities|Start a Business,https://1mcslc.com/,saltlake@1millioncups.com
2658,SCORE,"SCORE Utah is a chapter of the national nonprofit organization dedicated to fostering vibrant small business communities through mentoring and education. Offering free, confidential business advice, SCORE Utah assists entrepreneurs in starting and growing their businesses by connecting them with experienced volunteer mentors from various industries. The chapter also provides workshops and webinars on essential business topics to equip small business owners with the knowledge and tools necessary for success.",Any|Multicultural|New American|Rural|Student|Veteran|Women,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Close or Exit a Business|Funding|Marketing and Sales,https://www.score.org/utah,
2659,1 Million Cups (Orem),"1 Million Cups is a national program that supports local entrepreneurs by providing a platform to present their ideas, share feedback, and connect with a community of like-minded individuals. The Orem chapter, hosted weekly at the UVU Business Resource Center, offers a welcoming space for networking, mentoring, and collaboration among startups, investors, and service providers in Utah County",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Summit|Utah|Wasatch,Entrepreneurship Communities|Start a Business,https://www.1millioncups.com/s/account/0014W00002AqQfKQAV/orem-ut,provo@1millioncups.com
2660,"The Suazo Business Center is a nonprofit dedicated to supporting Latino and underserved communities in Utah through entrepreneurial resources. It provides business consulting, training, and financial assistance to help minority entrepreneurs succeed and build wealth, aiming to foster self-reliance and break cycles of poverty.","The Suazo Business Center is a nonprofit dedicated to supporting Latino and underserved communities in Utah through entrepreneurial resources. It provides business consulting, training, and financial assistance to help minority entrepreneurs succeed and build wealth, aiming to foster self-reliance and break cycles of poverty.",Multicultural,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Entrepreneurship Communities|Funding|Marketing and Sales|Start a Business,https://suazocenter.org/,getintouch@suazocenter.org
2661,Utah Hispanic Chamber of Commerce,"The Utah Hispanic Chamber of Commerce empowers Hispanic entrepreneurs and businesses by providing resources, advocacy, and networking opportunities. It focuses on fostering economic growth, cultural inclusion, and community engagement across Utah. Through education, mentorship, and support, the Chamber helps members thrive in a competitive business environment.",Multicultural,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Entrepreneurship Communities|Funding|Marketing and Sales|Start a Business,https://utahhcc.com/,info@utahhcc.com
2662,Utah Black Chamber,"The Utah Black Chamber supports the economic and professional development of Utah's Black community through advocacy, education, and enterprise. The organization connects underrepresented businesses with resources to foster growth and sustainability. It hosts events like the Black Business Expo and Juneteenth celebrations to promote entrepreneurship and cultural enrichment while advocating for inclusive policies and equitable workplace practices​.",Multicultural,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Entrepreneurship Communities|Funding|Marketing and Sales|Start a Business,https://www.utahblackchamber.com/,info@utahblackchamber.com
2663,Utah LGBTQ+ Chamber of Commerce,"The Utah LGBTQ+ Chamber of Commerce supports LGBTQ+ and allied businesses by fostering an inclusive business community across the state. Founded in 2012 and expanded in 2019 to reflect greater inclusivity, it connects businesses, nonprofits, and government entities to promote equity, diversity, and inclusion. The Chamber offers networking opportunities, business development programs, and advocacy at various levels, while also assisting members with certifications, marketing, and growth initiatives.",Multicultural,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Entrepreneurship Communities|Funding|Marketing and Sales|Start a Business,https://www.utahlgbtqchamber.org/,boardofdirectors@utahlgbtqchamber.org
2664,Women's Business Center of Utah,"The Women's Business Center of Utah (WBCUtah) supports women entrepreneurs in the state through free advising, training, and resources. They offer a range of services, including workshops, mentorship, and online courses, aimed at helping women start, grow, and scale their businesses.",Women,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Entrepreneurship Communities|Funding|Late Stage Growth|Start a Business,https://wbcutah.org/,info@wbcutah.org
2665,Wasatch Women's Business Alliance,"The Wasatch Women's Business Alliance (WWBA) is a nonprofit organization in Wasatch County, Utah, dedicated to supporting women-owned and operated businesses. It fosters growth through networking events, mentorship programs, and collaborative opportunities, enabling members to share experiences and resources. Regular meetings, such as the monthly networking sessions at the UVU Wasatch Campus, provide platforms for professional development and community engagement.",Women,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Wasatch,Entrepreneurship Communities|Funding|Marketing and Sales|Start a Business,https://thewwba.org/,wasatchwomensbusinessalliance@gmail.com
2666,Utah Native American Chamber of Commerce,"The Utah Native American Chamber of Commerce, based in Salt Lake City, is dedicated to empowering Native American entrepreneurs and fostering the prosperity of Indigenous businesses across Utah. As a non-profit organization, it provides a platform for Native American entrepreneurs to showcase their businesses, connect with corporations, and serve as a liaison on tribal economic development issues. The Chamber offers resources, training, and networking opportunities tailored to the unique needs of Native American business owners, welcoming both Native and non-Native entrepreneurs to join in this collective journey of empowerment and collaboration.",Multicultural,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Salt Lake,Entrepreneurship Communities|Funding|Marketing and Sales|Start a Business,https://www.utncoc.com/,info@utncoc.com
2667,Bear Lake Regional Commission,"The Bear Lake Regional Commission focuses on managing growth, preserving natural resources, and fostering collaboration between Idaho and Utah's Bear Lake counties. It works to address environmental, economic, and recreational challenges in the region, ensuring sustainable development while enhancing the area's natural beauty and accessibility.",,Arts and Entertainment and Recreation|Life Sciences and Healthcare,Rich,Entrepreneurship Communities|Funding|Late Stage Growth,http://www.bearlakeregionalcommission.org/,cjensen@cut.net
2668,Bear River Association of Governments,"The Bear River Association of Governments (BRAG) supports local community and economic development by offering technical assistance to cities, towns, and counties in northern Utah. It helps with planning, strategic growth, housing, transportation, and securing funding for vital infrastructure projects to promote regional development and economic success​.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Box Elder|Cache|Rich,Entrepreneurship Communities|Funding|Late Stage Growth,https://brag.utah.gov/,
2669,Brigham City Economic Development,"Brigham City's Economic Development Department is dedicated to enhancing the city's quality of life by fostering a vibrant business environment. The department offers support to businesses through streamlined application processes, tax increment financing via the Redevelopment Agency, and façade grant programs aimed at revitalizing the historic downtown district. Additionally, Brigham City provides well-developed infrastructure and is strategically located with access to major interstates and rail services, facilitating efficient transportation and logistics for businesses.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Box Elder,Entrepreneurship Communities|Funding|Late Stage Growth,https://www.bcutah.gov/page/economic-development/,plarsen@bcutah.gov
2670,Logan City Economic Development,"Logan City’s Economic Development Office fosters a business-friendly environment by supporting entrepreneurship, facilitating new business growth, and enhancing infrastructure for long-term success. The city provides resources such as business licensing, site selection tools, and economic data to assist businesses in thriving within Cache Valley.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Cache,Entrepreneurship Communities|Funding|Late Stage Growth,https://www.loganutah.gov/government/mayor_s_office/economic_development/index.php,
2671,Bear Lake Valley Chamber of Commerce,"The Bear Lake Valley Chamber of Commerce supports local businesses and fosters economic growth in the Bear Lake area. It provides resources, networking opportunities, and promotional efforts to help businesses thrive while enhancing the community's appeal to residents and visitors. Through its initiatives, the Chamber strengthens the local economy and encourages collaboration among businesses.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Rich,Entrepreneurship Communities|Funding|Late Stage Growth,https://bearlakechamber.com/,director@bearlakechamber.com
2672,Cache Valley Chamber of Commerce,"The Cache Valley Chamber of Commerce promotes economic growth and community development in the Cache Valley region. It offers resources, advocacy, and networking opportunities to support businesses of all sizes. Through events and initiatives, the Chamber fosters collaboration and strengthens the local economy.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Cache,Entrepreneurship Communities|Funding|Late Stage Growth,https://cachechamber.com/,info@cachechamber.com
2673,Box Elder Chamber of Commerce,"The Box Elder Chamber of Commerce supports local businesses and promotes economic development throughout Box Elder County. It provides resources, networking opportunities, and community events to help businesses grow and connect. By fostering collaboration and advocating for its members, the Chamber strengthens the local economy and enhances community prosperity.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Box Elder,Entrepreneurship Communities|Funding|Late Stage Growth,https://www.boxelderchamber.com/,monica@boxelderchamber.com
2674,Rural Utah Chamber Coalition,"The Rural Utah Chamber Coalition is a partnership composed of chamber executives and board members, elected leaders, and government liaisons. Their goals are to discuss issues affecting and advocate for rural chambers and communities, provide strategic programming to further meaningful economic development, support rural innovation, and create prosperity for the people of rural Utah.""",Rural,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Entrepreneurship Communities|Funding|Late Stage Growth,https://www.ruralutahcc.org/,info@ruralutahcc.org
2675,Utah Pacific Islander Chamber of Commerce,"The Utah Pacific Islander Chamber of Commerce (UPIC) is dedicated to empowering Pacific Islander entrepreneurs and businesses by providing resources, training, and networking opportunities. UPIC offers various programs, including mentorship, grants, culturally relevant education, and support for transitioning businesses from smaller operations to larger-scale establishments. Through events like the Pacific Islander Business Summit and partnerships with local organizations, UPIC fosters economic growth and strengthens community connections while promoting civic engagement and innovation​.",Multicultural,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Entrepreneurship Communities|Funding|Late Stage Growth,https://www.upichamber.org/,admin@upichamber.org
2676,Salt Lake Chamber,"The Salt Lake Chamber is Utah's largest and longest-standing business association, representing approximately 7,700 businesses and nearly 500,000 jobs across all 29 counties. The Chamber serves as the voice of business, supporting member success and championing community prosperity through advocacy, networking opportunities, and various programs aimed at fostering economic growth and addressing key policy issues.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Salt Lake,Entrepreneurship Communities|Funding|Late Stage Growth,https://slchamber.com/,info@slchamber.com
2677,Hurricane Valley Chamber of Commerce,"The Hurricane Valley Chamber of Commerce serves as a vital resource for local businesses in Hurricane, Utah. It supports the community through networking opportunities, educational events, and business promotion activities, such as ribbon-cutting ceremonies and the annual Small Business Expo. The Chamber's mission focuses on fostering economic growth, enhancing collaboration between businesses and civic leaders, and empowering small enterprises to thrive in a competitive environment​",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Washington,Entrepreneurship Communities|Funding|Late Stage Growth,https://hvchamber.com/,
2679,Federal Economic Development Administration,"The U.S. Economic Development Administration (EDA) is a federal agency within the Department of Commerce dedicated to promoting innovation and competitiveness to prepare American regions for growth and success in the global economy. It offers a variety of programs and funding opportunities, including grants for infrastructure development, technical assistance, and disaster recovery, aiming to support sustainable job growth and build resilient regional economies. By collaborating with local partners, the EDA focuses on initiatives that advance new ideas and creative approaches to address rapidly evolving economic conditions.",Rural,Agriculture,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Other,https://www.eda.gov/,
2680,Utah Governor's Office of Economic Opportunity,"The Utah Governor's Office of Economic Opportunity (Go Utah) fosters economic growth by supporting entrepreneurs, recruiting businesses, and implementing strategic development plans statewide. Under the leadership of Executive Director Ryan Starks, the office offers various programs, including business services, financial incentives, and the Utah Broadband Center, to enhance the state's economic vitality. Go Utah collaborates with industries, communities, and nonprofits to ensure economic opportunities are accessible to all Utahns.",Multicultural|New American|Rural|Student|Veteran|Women,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Close or Exit a Business|Entrepreneurship Communities|Funding|International Trade|Late Stage Growth|Marketing and Sales|Other|Relocate a Business to Utah|Start a Business|Taxes and Finance,https://business.utah.gov/,business@utah.gov
2681,EDCUtah - Economic Development Corporation of Utah,"EDCUtah provides businesses with the resources they need to relocate or expand their operations in Utah. We specialize in corporate recruitment and expansion projects, economic research, community strategy, and site selector engagement. As Utah’s only statewide economic development organization with a public-private partnership model, EDCUtah can connect growing companies to local experts in finance, law, talent recruitment, real estate, construction, utilities, and more.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Entrepreneurship Communities|Funding|Late Stage Growth,https://www.edcutah.org/,connect@edcutah.org
2682,Utah Center for Rural Development,"The Center for Rural Development, part of Utah's Governor's Office of Economic Opportunity, collaborates with the state's rural counties, communities, and businesses to provide economic development resources. It administers programs such as the Rural Communities Opportunity Grant (RCOG), which supports unique economic development projects, and the Rural Employment Development Incentive (REDI), offering grants to businesses creating high-paying jobs in rural areas. Additionally, the center manages initiatives like the Enterprise Zone Tax Credits and the Rural Economic Development Tax Increment Financing (REDTIF) to promote business growth and infrastructure development in Utah's rural regions.",Rural,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Entrepreneurship Communities|Late Stage Growth|Other,,business@utah.gov
2683,St George Downtown Farmers Market,"The Downtown Farmers Market in St. George, Utah, is a year-round community event held at Vernon Worthen Park. It features over 60 vendors offering local produce, meats, artisanal products, and live entertainment every Saturday, fostering a vibrant, inclusive space for residents to connect and support local businesses",,Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Hospitality and Food Services,Beaver|Garfield|Iron|Kane|Washington,Entrepreneurship Communities|Late Stage Growth|Other,https://downtownfarmerstg.com/,
2684,Utah Farmers Market Network,"The Utah Farmers Market Network (UFMN) is a collaborative organization that supports and connects farmers markets across Utah, aiming to enhance local food systems and community engagement. It provides resources such as the Farmers Market Manager Handbook, guidance on SNAP & Double Up Food Bucks programs, and initiatives to create welcoming markets, all designed to assist market managers and vendors in operating successful and inclusive markets. UFMN also maintains a directory of farmers markets throughout the state, helping consumers locate markets and access fresh, locally produced goods.",,Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Hospitality and Food Services,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Entrepreneurship Communities|Late Stage Growth,https://www.utahfarmersmarketnetwork.org/,info@utahfarmersmarketnetwork.org
2685,Morgan County Economic Development,"The Morgan County Economic Development Corporation fosters growth and development within Morgan County by supporting local businesses and attracting new opportunities. It offers resources, strategic planning, and community partnerships to enhance the area's economic vitality. Through its efforts, the organization strengthens the local economy and promotes Morgan County as a thriving place to live and work.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Davis|Morgan|Salt Lake|Tooele|Weber,Entrepreneurship Communities|Funding|Late Stage Growth,https://www.morgancountyinfo.com/,mcedc@morgancountyinfo.com
2686,Davis County Economic Development,"The Davis County Community and Economic Development Department drives economic growth by supporting businesses, fostering community development, and enhancing the region’s quality of life. It provides resources for business expansion, workforce development, and strategic planning to strengthen the local economy. Through its initiatives, the department promotes Davis County as a vibrant hub for business and community opportunities.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Davis|Morgan|Salt Lake|Tooele|Weber,Entrepreneurship Communities|Funding|Late Stage Growth,https://www.daviscountyutah.gov/ced,
2687,Weber County Economic Development,"The Weber Economic Development Partnership (EDP) focuses on fostering economic growth and development in Weber County by supporting businesses and attracting new investments. It offers resources, strategic planning, and workforce development programs to strengthen the local economy. Through collaboration and innovation, Weber EDP promotes the county as a dynamic location for businesses and residents.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Davis|Morgan|Salt Lake|Tooele|Weber,Entrepreneurship Communities|Funding|Late Stage Growth,https://webercountyutah.gov/weberedp/new/index.html,srussell@webercountyutah.gov
2688,Northern Utah Economic Alliance,"The Northern Utah Economic Alliance (NUEA) promotes economic growth and development in Davis and Weber counties by attracting businesses, supporting expansion, and creating job opportunities. It collaborates with local governments, businesses, and stakeholders to strengthen the region’s economy and enhance its competitive advantage. Through its efforts, NUEA fosters innovation and sustainable growth to benefit Northern Utah communities.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Davis|Morgan|Salt Lake|Tooele|Weber,Entrepreneurship Communities|Funding|Late Stage Growth,https://nuea.org/,chris@nuea.org
